path,type,reason,likely_use,confidence
/Users/sa/rh.1/.firebase,firebase_directory,Firebase configuration directory,Firebase project setup,0.9
/Users/sa/rh.1/firebase.json,firebase_config,Firebase project configuration,Firebase project settings,0.9
/Users/sa/rh.1/firestore.rules,firebase_rules,Firestore security rules,Database access control,0.9
/Users/sa/rh.1/firebase-debug.log,firebase_log,Firebase debug log,Troubleshooting Firebase issues,0.8
/Users/sa/rh.1/.firecrawl,firecrawl_config,Firecrawl configuration,Web scraping for Firebase,0.7
/Users/sa/rh.1/.firecrawl/.firecrawl.json,firecrawl_config,Firecrawl configuration file,Web scraping settings,0.7
/Users/sa/rh.1/session_store.db,sqlite_db,Session storage database,Local session data,0.8
/Users/sa/rh.1/.entire,entire_config,Entire configuration,Session management,0.7
/Users/sa/rh.1/.entire/metadata,entire_metadata,Entire metadata directory,Session metadata storage,0.7
/Users/sa/rh.1/.entire/metadata/94aabe90-9b2d-48e7-be8c-6bf820a0b6a9/full.jsonl,session_metadata,Session metadata file,Session data export,0.8
/Users/sa/rh.1/.entire/metadata/261278d3-25c3-47f8-93e7-bfcc23c40cd5/full.jsonl,session_metadata,Session metadata file,Session data export,0.8
/Users/sa/rh.1/.rhea,rhea_config,Rhea configuration,Rhea session management,0.8
/Users/sa/rh.1/.rhea/radio,rhea_radio,Rhea radio directory,Rhea radio sessions,0.7
/Users/sa/rh.1/.rhea/radio/radio.stdout.log,radio_log,Radio session log,Radio session data,0.7
/Users/sa/rh.1/.env,env_file,Environment variables,Firebase credentials,0.9
/Users/sa/rh.1/.env.example,env_template,Environment variables template,Firebase credentials setup,0.8
/Users/sa/rh.1/.secrets,secrets_directory,Secrets directory,Firebase secret keys,0.8
/Users/sa/rh.1/fly.toml,deployment_config,Fly.io deployment config,Firebase deployment,0.7
/Users/sa/rh.1/Dockerfile,docker_config,Docker configuration,Firebase container deployment,0.7
/Users/sa/rh.1/docker-compose.yml,docker_config,Docker Compose configuration,Firebase container deployment,0.7
/Users/sa/rh.1/.gcloudignore,gcloud_config,Google Cloud ignore config,Firebase deployment,0.6
/Users/sa/rh.1/.gitignore,git_config,Git ignore configuration,Firebase deployment,0.6
/Users/sa/rh.1/.dockerignore,docker_config,Docker ignore configuration,Firebase container deployment,0.6
/Users/sa/rh.1/.windsurfignore,windsurf_config,Windsurf ignore configuration,Firebase deployment,0.6
/Users/sa/rh.1/data,data_directory,Data files directory,Firebase data exports,0.7
/Users/sa/rh.1/sessions,sessions_directory,Sessions directory,Session data storage,0.7
/Users/sa/rh.1/SESSION_STATE.md,session_doc,Session state documentation,Session management guide,0.8
/Users/sa/rh.1/SESSION_SUMMARY_STAGE5.md,session_doc,Session summary documentation,Session management guide,0.8
/Users/sa/rh.1/rhea-session-server,session_server,Rust session server,Session management backend,0.9
/Users/sa/rh.1/rhea-session-server/src/main.rs,session_server_main,Session server main file,Session management logic,0.9
/Users/sa/rh.1/rhea-session-server/src/lib.rs,session_server_lib,Session server library,Session management functions,0.9
/Users/sa/rh.1/rhea-session-server/src/tests.rs,session_server_tests,Session server tests,Session management testing,0.8
