"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Updating Play for iOS  - Createwithplay","https://docs.createwithplay.com/en/articles/updating-i-os","","Updating Play for iOS","","","","39","0","0.88140 s","298kb","26","166","","169","","","https://docs.createwithplay.com/en/articles/updating-i-os","7","15kb","1","85","0","0"
"Delay - Createwithplay","https://docs.createwithplay.com/en/articles/delay","A helper that applies a delay to multiple actions at once.","Delay","Overview, Delay Properties, Resources, Learn Interactions 2.0","Time","","22","58","0.51092 s","308kb","36","178","","106","","","https://docs.createwithplay.com/en/articles/delay","7","15kb","2","94","0","0"
"Timer - Createwithplay","https://docs.createwithplay.com/en/articles/timer","A helper that fires every X seconds.","Timer","Overview, Timer Properties","Interval, Repetitions, Fires Immediately","","22","36","0.70126 s","309kb","39","237","","94","","","https://docs.createwithplay.com/en/articles/timer","7","15kb","1","97","0","0"
"Elastic Header - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-elastic-header","A prefab that stretches a header.","Elastic Header","Overview, Controls, Resources, Elastic Header","Header, Stretch","","31","33","0.97380 s","323kb","41","231","","112","","","https://docs.createwithplay.com/en/articles/prefab-elastic-header","7","15kb","3","99","0","0"
"Target - Createwithplay","https://docs.createwithplay.com/en/articles/target","A helper that selects a target for multiple actions at once.","Target","Overview, Target Properties","Target","","23","60","0.56059 s","309kb","34","166","","86","","","https://docs.createwithplay.com/en/articles/target","7","15kb","3","93","0","0"
"Equations - Createwithplay","https://docs.createwithplay.com/en/articles/equations","","Equations","","","","26","0","0.84669 s","307kb","27","207","","587","","","https://docs.createwithplay.com/en/articles/equations","7","15kb","3","85","0","0"
"Page Loader - Createwithplay","https://docs.createwithplay.com/en/articles/page-loader","An element that loads in another page.","Page Loader","Overview, Properties, Resources, Page Loader Event, Set Page Loader","Page","","28","38","0.69663 s","323kb","66","237","","444","","","https://docs.createwithplay.com/en/articles/page-loader","7","15kb","3","124","0","0"
"Spacer - Createwithplay","https://docs.createwithplay.com/en/articles/spacer","An element that fills unused space.","Spacer","Overview, Resources, Apple Developer Documentation for Spacers","","","23","35","0.59962 s","316kb","59","243","","432","","","https://docs.createwithplay.com/en/articles/spacer","7","15kb","3","117","0","0"
"As Text - Createwithplay","https://docs.createwithplay.com/en/articles/as-text","An expression editor function that casts an object as a text element.","As Text","Overview, Parameters","","","24","69","0.79478 s","319kb","40","189","","62","","","https://docs.createwithplay.com/en/articles/as-text","7","15kb","2","98","0","0"
"Scroll Progress Bar - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-scroll-progress-bar","A prefab that create a progress bar on scroll.","Scroll Progress Bar","Overview, Controls, Resources, Hide Header","Progress Bar, Fill Direction","","36","46","0.67048 s","329kb","41","248","","109","","","https://docs.createwithplay.com/en/articles/prefab-scroll-progress-bar","7","15kb","4","100","0","0"
"Set Pagination Dots - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-set-pagination-dots","A prefab that tracks scroll progress using indicator dots.","Set Pagination Dots","Overview, Controls, Resources, Pagination Dots","Dots, Active Opacity, Idle Opacity","","36","58","0.66922 s","326kb","43","231","","111","","","https://docs.createwithplay.com/en/articles/prefab-set-pagination-dots","7","15kb","4","101","0","0"
"Blend Color - Createwithplay","https://docs.createwithplay.com/en/articles/blend-color","An expression editor function that blends two colors based on a percentage.","Blend Color","Overview, Parameters, Example","","","28","75","0.81958 s","329kb","45","231","","81","","","https://docs.createwithplay.com/en/articles/blend-color","7","15kb","4","103","0","0"
"As Component - Createwithplay","https://docs.createwithplay.com/en/articles/as-component","An expression editor function that casts an instance as a component.","As Component","Overview, Parameters","","","29","68","0.76847 s","319kb","40","193","","59","","","https://docs.createwithplay.com/en/articles/as-component","7","15kb","3","98","0","0"
"As Boolean - Createwithplay","https://docs.createwithplay.com/en/articles/as-boolean","An expression editor function that converts an object to a boolean type.","As Boolean","Overview, Parameters, Example","","","27","72","0.77614 s","333kb","42","205","","61","","","https://docs.createwithplay.com/en/articles/as-boolean","7","15kb","3","100","0","0"
"As Element - Createwithplay","https://docs.createwithplay.com/en/articles/as-element","An expression editor function that casts an object as a generic element.","As Element","Overview, Parameters","","","27","72","0.76047 s","319kb","40","181","","58","","","https://docs.createwithplay.com/en/articles/as-element","7","15kb","3","98","0","0"
"As SVG - Createwithplay","https://docs.createwithplay.com/en/articles/as-svg","An expression editor function that casts an object as an SVG element.","As SVG","Overview, Parameters","","","23","69","0.57052 s","318kb","40","190","","59","","","https://docs.createwithplay.com/en/articles/as-svg","7","15kb","3","98","0","0"
