"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Intro to Play - Createwithplay","https://docs.createwithplay.com/en/articles/getting-started","Welcome to Play! Play is a collaborative tool that lets you design, prototype, and ship your apps.","Intro to Play","Design with Play, Learn more about starting with your existing Figma files, Check out our examples projects in the Learn section, Prototype with Play, Share & Ship with Play, Share Prototypes with App Clips, Play to Xcode Documentation, Resources and Support, Play Community (hosted by Circle), support@createwithplay.com","","","30","98","0.43603 s","338kb","49","672","","3286","","","https://docs.createwithplay.com/en/articles/getting-started","7","15kb","0","108","0","0"
"Keyboard Shortcuts - Createwithplay","https://docs.createwithplay.com/en/articles/keyboard-shortcuts","Keyboard shortcuts can increase your efficiency while designing. Our keyboard shortcuts are available on Play for macOS.","Keyboard Shortcuts","Lobby Shortcuts, Editor Shortcuts","Page, Tab, and Window Shortcuts, Mode Shortcuts, UI Shortcuts, Tab Shortcuts, Copy Shortcuts, Grouping Shortcuts, Zoom Shortcuts, Add Panel Shortcuts, Left Panel Shortcuts, Data Editing Shortcuts, Order Shortcuts, Layers Panel Shortcuts, Selection Shortcuts, Interaction UX Shortcuts","","35","120","0.39842 s","358kb","59","743","","245","","","https://docs.createwithplay.com/en/articles/keyboard-shortcuts","7","15kb","1","117","0","0"
"Projects and Drafts - Createwithplay","https://docs.createwithplay.com/en/articles/projects-and-drafts","","Projects and Drafts","Overview","Drafts, Moving a Project or Draft","","36","0","0.56142 s","314kb","35","340","","210","","","https://docs.createwithplay.com/en/articles/projects-and-drafts","7","15kb","1","94","0","0"
"Export Prototypes - Createwithplay","https://docs.createwithplay.com/en/articles/dev-handoff","Two way for designers and developers to collaborate with Play.","Export Prototypes","Overview, Play to Xcode: Complete Integration, Swift UI Code Panel: Reference and Guidance, Play to Xcode for Startups, Enterprise Solutions, Individual Developers, Code Panel Documentation, Exporting to Xcode Guide","Benefits, Key Features","","34","62","0.70972 s","341kb","35","751","","3206","","","https://docs.createwithplay.com/en/articles/dev-handoff","7","15kb","1","94","0","0"
"Organize Projects - Createwithplay","https://docs.createwithplay.com/en/articles/organize-projects","Add tags to create easily accessible sub folders on your team.","Organize Projects","Overview, Tags, Search Projects, View Recent Projects","Create a Tag, Tag Projects, Manage Tags","","34","62","0.55432 s","342kb","43","450","","209","","","https://docs.createwithplay.com/en/articles/organize-projects","7","15kb","1","102","0","0"
"View Prototype - Createwithplay","https://docs.createwithplay.com/en/articles/view-prototype","Experience your prototype on iOS, iPad, or a macOS Simulator.","View Prototype","Overview, Experience Prototypes","Connect to macOS, Play from the iOS Lobby, Play from the iOS Editor, Refresh Interactions on iOS, Exit Play Mode on iOS, Connect to macOS, Play from the iPad Lobby, Refresh Interactions on iPad, Exit Play Mode on iPad, Opening the Simulator, Customizing the Simulator, Recording the Simulator, Considerations for the Simulator","Changing the Simulator’s Device Size, Refresh Interactions on the Simulator, Change the Simulator’s UI Appearance, Adding or Removing Bezel, Opening Multiple Simulator Windows, Change the Prototype Displayed by the Simulator, Coming Soon: Prototype Sharing with the Simulator","31","61","0.62598 s","366kb","51","1540","","291","","","https://docs.createwithplay.com/en/articles/view-prototype","7","15kb","1","109","0","0"
"Interaction Mode - Createwithplay","https://docs.createwithplay.com/en/articles/interactions","","Interaction Mode","Overview, Anatomy of an Interaction, Creating an Interaction, Managing an Interaction, Testing an Interaction, Lock Selection, Annotating Interactions, Advanced Prototyping, Expression Editor, Variables, Conditions, Animate, Delay, Loops","Expression Editor, Variables, Conditions, Animate and Delay Blocks, Loop, Component Interactions","","33","0","0.75394 s","377kb","69","1224","","5405","","","https://docs.createwithplay.com/en/articles/interactions","7","15kb","1","128","0","0"
"Editor - Createwithplay","https://docs.createwithplay.com/en/articles/editor","Edit projects on macOS and iOS.","Editor","Overview","Pages, Components, Design, Interaction, Settings, Pages, Components, Design","","23","31","0.81504 s","330kb","47","782","","3354","","","https://docs.createwithplay.com/en/articles/editor","7","15kb","1","105","0","0"
"Design Mode - Createwithplay","https://docs.createwithplay.com/en/articles/design-mode","","Design Mode","Overview, Design with Structure, Design Mode UI","Add Objects, Layers, Styles, Variables, Code, Events, and AI Panels, Attribute Panels","","28","0","0.82042 s","318kb","52","551","","3685","","","https://docs.createwithplay.com/en/articles/design-mode","7","15kb","1","110","0","0"
"Import Figma Styles - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma-design-system","","Import Figma Styles","Overview, Figma Plugin, Upload to Play","","","36","0","0.44500 s","314kb","33","316","","191","","","https://docs.createwithplay.com/en/articles/import-figma-design-system","7","15kb","1","92","0","0"
